ADAS,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,YTD,ITD
2016 - Long,-7.28%,3.12%,7.82%,3.15%,1.17%,-1.24%,0.79%,7.13%,0.07%,-1.91%,6.35%,2.44%,22.71%,22.71%
2016 - Short,9.88%,-1.69%,-7.99%,0.91%,-1.55%,0.23%,-2.38%,-1.41%,0.48%,1.20%,-0.12%,1.14%,-2.57%,-2.57%
2017 - Long,1.61%,1.52%,-0.33%,-0.47%,-2.95%,1.88%,-0.18%,-0.36%,2.78%,0.02%,2.17%,-0.75%,7.92%,28.12%
2017 - Short,-0.81%,-0.76%,1.23%,0.15%,1.82%,-0.70%,-0.16%,-0.44%,-1.02%,-0.69%,-1.85%,0.07%,-3.55%,-5.73%
2018 - Long,2.64%,-1.36%,2.00%,3.34%,3.22%,5.22%,1.16%,1.93%,-0.34%,-2.03%,-1.09%,-11.87%,1.71%,
2018 - Short,-1.03%,5.19%,-0.14%,-2.38%,-1.35%,-4.00%,-1.94%,1.04%,0.14%,5.25%,2.00%,11.45%,11.84%,
2019 - Long,12.05%,3.24%,-2.65%,2.31%,-12.24%,8.13%,-2.87%,-6.45%,5.47%,2.05%,2.03%,4.54%,14.05%,
2019 - Short,-10.82%,-4.26%,1.80%,-2.89%,2.69%,-2.00%,2.17%,5.14%,-1.92%,1.75%,-3.79%,-2.56%,-14.00%,
2020 - Long,-1.27%,,,,,,,,,,,,-1.27%,
2020 - Short,-0.05%,,,,,,,,,,,,-0.05%,
